L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽#Gothic,fauramanwjan,ɸɔramanwjan,prepare,v,ɸɔramanwj,wͽrmͽwjͽ,"wͽrmͽwjͽ, wͽrmȣ̈wjȣ̈, wͽrmɑwjɑ, wͽrmæwjæ, wermͽwjͽ, wermȣ̈wjȣ̈, wermɑwjɑ, wermæwjæ, wærmͽwjͽ, wærmȣ̈wjȣ̈, wærmɑwjɑ, wærmæwjæ, wirmͽwjͽ, wirmȣ̈wjȣ̈, wirmɑwjɑ, wirmæwjæ, wȣ̈rmͽwjͽ, wȣ̈rmȣ̈wjȣ̈, wȣ̈rmɑwjɑ, wȣ̈rmæwjæ"
𐍆𐌰𐌿𐍂𐌰𐌼𐌴𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐌼𐌴𐌻𐌾𐌰𐌽#Gothic,fauramēljan,ɸɔrameljan,"set_forth, exhibit, display",v,ɸɔramelj,wͽrmͽljͽ,"wͽrmͽljͽ, wͽrmͽljȣ̈, wͽrmͽljɑ, wͽrmȣ̈ljͽ, wͽrmȣ̈ljȣ̈, wͽrmȣ̈ljɑ, wͽrmeljͽ, wͽrmeljȣ̈, wͽrmeljɑ, wermͽljͽ, wermͽljȣ̈, wermͽljɑ, wermȣ̈ljͽ, wermȣ̈ljȣ̈, wermȣ̈ljɑ, wermeljͽ, wermeljȣ̈, wermeljɑ, wærmͽljͽ, wærmͽljȣ̈, wærmͽljɑ, wærmȣ̈ljͽ, wærmȣ̈ljȣ̈, wærmȣ̈ljɑ, wærmeljͽ, wærmeljȣ̈, wærmeljɑ"
𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐍂𐌰𐌷𐌽𐌾𐌰𐌽#Gothic,faurarahnjan,ɸɔrarahn̥jan,outdo,v,ɸɔrarahn̥j,wͽrrͽnjͽ,"wͽrrͽnjͽ, wͽrrȣ̈njȣ̈, wͽrrɑnjɑ, wͽrrænjæ, werrͽnjͽ, werrȣ̈njȣ̈, werrɑnjɑ, werrænjæ, wærrͽnjͽ, wærrȣ̈njȣ̈, wærrɑnjɑ, wærrænjæ, wirrͽnjͽ, wirrȣ̈njȣ̈, wirrɑnjɑ, wirrænjæ, wȣ̈rrͽnjͽ, wȣ̈rrȣ̈njȣ̈, wȣ̈rrɑnjɑ, wȣ̈rrænjæ"
𐍆𐌰𐌿𐍂𐌰𐍃𐍄𐌰𐌽𐌳𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐍃𐍄𐌰𐌽𐌳𐌰𐌽#Gothic,faurastandan,ɸɔrastandan,stand_near_or_in_front_of_something,v,ɸɔrastand,wͽrtͽnðͽ,"wͽrtͽnðͽ, wͽrtͽntͽ, wͽrtȣ̈nðȣ̈, wͽrtȣ̈ntȣ̈, wͽrtɑnðɑ, wͽrtɑntɑ, wertͽnðͽ, wertͽntͽ, wertȣ̈nðȣ̈, wertȣ̈ntȣ̈, wertɑnðɑ, wertɑntɑ, wærtͽnðͽ, wærtͽntͽ, wærtȣ̈nðȣ̈, wærtȣ̈ntȣ̈, wærtɑnðɑ, wærtɑntɑ, wirtͽnðͽ, wirtͽntͽ, wirtȣ̈nðȣ̈, wirtȣ̈ntȣ̈, wirtɑnðɑ, wirtɑntɑ"
𐍆𐌰𐌿𐍂𐌰𐍄𐌰𐌽𐌹,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐍄𐌰𐌽𐌹#Gothic,fauratani,ɸɔratanɪ,"miracle, wonder, marvel",n,ɸɔratanɪ,wͽrtͽnͽ,"wͽrtͽnͽ, wͽrtͽnȣ̈, wͽrtͽni, wͽrtȣ̈nͽ, wͽrtȣ̈nȣ̈, wͽrtȣ̈ni, wͽrtɑnͽ, wͽrtɑnȣ̈, wͽrtɑni, wertͽnͽ, wertͽnȣ̈, wertͽni, wertȣ̈nͽ, wertȣ̈nȣ̈, wertȣ̈ni, wertɑnͽ, wertɑnȣ̈, wertɑni, wærtͽnͽ, wærtͽnȣ̈, wærtͽni, wærtȣ̈nͽ, wærtȣ̈nȣ̈, wærtȣ̈ni, wærtɑnͽ, wærtɑnȣ̈, wærtɑni"
𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐍅𐌴𐌽𐌾𐌰𐌽#Gothic,faurawēnjan,ɸɔrawenjan,"hope_in, trust_in, first",v,ɸɔrawenj,wͽrwͽnjͽ,"wͽrwͽnjͽ, wͽrwͽnjȣ̈, wͽrwͽnjɑ, wͽrwȣ̈njͽ, wͽrwȣ̈njȣ̈, wͽrwȣ̈njɑ, wͽrwenjͽ, wͽrwenjȣ̈, wͽrwenjɑ, werwͽnjͽ, werwͽnjȣ̈, werwͽnjɑ, werwȣ̈njͽ, werwȣ̈njȣ̈, werwȣ̈njɑ, werwenjͽ, werwenjȣ̈, werwenjɑ, wærwͽnjͽ, wærwͽnjȣ̈, wærwͽnjɑ, wærwȣ̈njͽ, wærwȣ̈njȣ̈, wærwȣ̈njɑ, wærwenjͽ, wærwenjȣ̈, wærwenjɑ"
𐍆𐌰𐌿𐍂𐌰𐍅𐌹𐍃𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐍅𐌹𐍃𐌰𐌽#Gothic,faurawisan,ɸɔrawɪsan,be_present,v,ɸɔrawɪs,wͽrwͽsͽ,"wͽrwͽsͽ, wͽrwͽsȣ̈, wͽrwͽsɑ, wͽrwȣ̈sͽ, wͽrwȣ̈sȣ̈, wͽrwȣ̈sɑ, wͽrwisͽ, wͽrwisȣ̈, wͽrwisɑ, werwͽsͽ, werwͽsȣ̈, werwͽsɑ, werwȣ̈sͽ, werwȣ̈sȣ̈, werwȣ̈sɑ, werwisͽ, werwisȣ̈, werwisɑ, wærwͽsͽ, wærwͽsȣ̈, wærwͽsɑ, wærwȣ̈sͽ, wærwȣ̈sȣ̈, wærwȣ̈sɑ, wærwisͽ, wærwisȣ̈, wærwisɑ"
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌹,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌹#Gothic,faurafilli,ɸɔraɸɪllɪ,uncircumcision,n,ɸɔraɸɪllɪ,wͽrwͽllͽ,"wͽrwͽllͽ, wͽrwȣ̈llȣ̈, wͽrwilli, wͽrwelle, werwͽllͽ, werwȣ̈llȣ̈, werwilli, werwelle, wærwͽllͽ, wærwȣ̈llȣ̈, wærwilli, wærwelle, wirwͽllͽ, wirwȣ̈llȣ̈, wirwilli, wirwelle, wȣ̈rwͽllͽ, wȣ̈rwȣ̈llȣ̈, wȣ̈rwilli, wȣ̈rwelle"
𐍆𐌰𐌿𐍂𐌱𐌰𐌿𐌷𐍄𐍃,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌱𐌰𐌿𐌷𐍄𐍃#Gothic,faurbauhts,ɸɔrbɔhts,redemption_through_ransom_payment,n,ɸɔrbɔhts,wͽrpͽɣtͽ,"wͽrpͽɣtͽ, wͽrpͽɣte, wͽrpͽktͽ, wͽrpͽkte, wͽrwͽɣtͽ, wͽrwͽɣte, wͽrwͽktͽ, wͽrwͽkte, wȣrpȣɣtͽ, wȣrpȣɣte, wȣrpȣktͽ, wȣrpȣkte, wȣrwȣɣtͽ, wȣrwȣɣte, wȣrwȣktͽ, wȣrwȣkte, worpoɣtͽ, worpoɣte, worpoktͽ, worpokte, worwoɣtͽ, worwoɣte, worwoktͽ, worwokte"
𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌱𐌹𐌲𐌰𐌲𐌲𐌰𐌽#Gothic,faurbigaggan,ɸɔrbɪɣaŋɡan,go_before,v,ɸɔrbɪɣaŋɡ,wͽrpͽɣɣͽ,"wͽrpͽɣɣͽ, wͽrpͽɣɣȣ̈, wͽrpͽɣkͽ, wͽrpͽɣkȣ̈, wͽrpȣ̈ɣɣͽ, wͽrpȣ̈ɣɣȣ̈, wͽrpȣ̈ɣkͽ, wͽrpȣ̈ɣkȣ̈, wͽrwͽɣɣͽ, wͽrwͽɣɣȣ̈, wͽrwͽɣkͽ, wͽrwͽɣkȣ̈, wͽrwȣ̈ɣɣͽ, wͽrwȣ̈ɣɣȣ̈, wͽrwȣ̈ɣkͽ, wͽrwȣ̈ɣkȣ̈, werpͽɣɣͽ, werpͽɣɣȣ̈, werpͽɣkͽ, werpͽɣkȣ̈, werpȣ̈ɣɣͽ, werpȣ̈ɣɣȣ̈, werpȣ̈ɣkͽ, werpȣ̈ɣkȣ̈, werwͽɣɣͽ, werwͽɣɣȣ̈, werwͽɣkͽ, werwͽɣkȣ̈, werwȣ̈ɣɣͽ, werwȣ̈ɣɣȣ̈, werwȣ̈ɣkͽ, werwȣ̈ɣkȣ̈"
𐍆𐌰𐌿𐍂𐌱𐌹𐌿𐌳𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌱𐌹𐌿𐌳𐌰𐌽#Gothic,faurbiudan,ɸɔrbɪuðan,forbid,v,ɸɔrbɪuð,wͽrpͽðͽ,"wͽrpͽðͽ, wͽrpͽðȣ̈, wͽrpȣ̈ðͽ, wͽrpȣ̈ðȣ̈, wͽrwͽðͽ, wͽrwͽðȣ̈, wͽrwȣ̈ðͽ, wͽrwȣ̈ðȣ̈, werpͽðͽ, werpͽðȣ̈, werpȣ̈ðͽ, werpȣ̈ðȣ̈, werwͽðͽ, werwͽðȣ̈, werwȣ̈ðͽ, werwȣ̈ðȣ̈, wærpͽðͽ, wærpͽðȣ̈, wærpȣ̈ðͽ, wærpȣ̈ðȣ̈, wærwͽðͽ, wærwͽðȣ̈, wærwȣ̈ðͽ, wærwȣ̈ðȣ̈"
𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽#Gothic,faurbisniwan,ɸɔrbɪsnɪwan,go_before,v,ɸɔrbɪsnɪw,wͽrpͽsnͽ,"wͽrpͽsnͽ, wͽrpȣ̈snȣ̈, wͽrpisni, wͽrwͽsnͽ, wͽrwȣ̈snȣ̈, wͽrwisni, werpͽsnͽ, werpȣ̈snȣ̈, werpisni, werwͽsnͽ, werwȣ̈snȣ̈, werwisni, wærpͽsnͽ, wærpȣ̈snȣ̈, wærpisni, wærwͽsnͽ, wærwȣ̈snȣ̈, wærwisni, wirpͽsnͽ, wirpȣ̈snȣ̈, wirpisni, wirwͽsnͽ, wirwȣ̈snȣ̈, wirwisni"
𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌲𐌰𐌲𐌲𐌰𐌽#Gothic,faurgaggan,ɸɔrɡaŋɡan,pass_by,v,ɸɔrɡaŋɡ,wͽrɣͽŋɣͽ,"wͽrɣͽŋɣͽ, wͽrɣȣ̈ŋɣȣ̈, wͽrɣɑŋɣɑ, wͽrkͽŋkͽ, wͽrkȣ̈ŋkȣ̈, wͽrkɑŋkɑ, wͽrŋͽŋŋͽ, wͽrŋȣ̈ŋŋȣ̈, wͽrŋɑŋŋɑ, werɣͽŋɣͽ, werɣȣ̈ŋɣȣ̈, werɣɑŋɣɑ, werkͽŋkͽ, werkȣ̈ŋkȣ̈, werkɑŋkɑ, werŋͽŋŋͽ, werŋȣ̈ŋŋȣ̈, werŋɑŋŋɑ, wærɣͽŋɣͽ, wærɣȣ̈ŋɣȣ̈, wærɣɑŋɣɑ, wærkͽŋkͽ, wærkȣ̈ŋkȣ̈, wærkɑŋkɑ, wærŋͽŋŋͽ, wærŋȣ̈ŋŋȣ̈, wærŋɑŋŋɑ"
𐍆𐌰𐌿𐍂𐌳𐌰𐌼𐌼𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌳𐌰𐌼𐌼𐌾𐌰𐌽#Gothic,faurdammjan,ɸɔrdamm̥jan,"obstruct, stop",v,ɸɔrdamm̥j,wͽrðͽmmͽ,"wͽrðͽmmͽ, wͽrðȣ̈mmȣ̈, wͽrðɑmmɑ, wͽrtͽmmͽ, wͽrtȣ̈mmȣ̈, wͽrtɑmmɑ, werðͽmmͽ, werðȣ̈mmȣ̈, werðɑmmɑ, wertͽmmͽ, wertȣ̈mmȣ̈, wertɑmmɑ, wærðͽmmͽ, wærðȣ̈mmȣ̈, wærðɑmmɑ, wærtͽmmͽ, wærtȣ̈mmȣ̈, wærtɑmmɑ, wirðͽmmͽ, wirðȣ̈mmȣ̈, wirðɑmmɑ, wirtͽmmͽ, wirtȣ̈mmȣ̈, wirtɑmmɑ"
𐍆𐌰𐌿𐍂𐌳𐍉𐌼𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌳𐍉𐌼𐌴𐌹𐌽𐍃#Gothic,faurdōmēins,ɸɔrdomeɪns,prejudice,n,ɸɔrdomeɪns,wͽrðͽmͽ,"wͽrðͽmͽ, wͽrðͽmɑ, wͽrðȣmͽ, wͽrðȣmɑ, wͽrtͽmͽ, wͽrtͽmɑ, wͽrtȣmͽ, wͽrtȣmɑ, wȣrðͽmͽ, wȣrðͽmɑ, wȣrðȣmͽ, wȣrðȣmɑ, wȣrtͽmͽ, wȣrtͽmɑ, wȣrtȣmͽ, wȣrtȣmɑ, worðͽmͽ, worðͽmɑ, worðȣmͽ, worðȣmɑ, wortͽmͽ, wortͽmɑ, wortȣmͽ, wortȣmɑ"
𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌵𐌹𐌸𐌰𐌽#Gothic,faurqiþan,ɸɔrkʷɪθan,excuse,v,ɸɔrkʷɪθ,wͽrkͽt͡ʃͽ,"wͽrkͽt͡ʃͽ, wͽrkͽt͡ʃȣ̈, wͽrkͽsͽ, wͽrkͽsȣ̈, wͽrkȣ̈t͡ʃͽ, wͽrkȣ̈t͡ʃȣ̈, wͽrkȣ̈sͽ, wͽrkȣ̈sȣ̈, wͽrwͽt͡ʃͽ, wͽrwͽt͡ʃȣ̈, wͽrwͽsͽ, wͽrwͽsȣ̈, wͽrwȣ̈t͡ʃͽ, wͽrwȣ̈t͡ʃȣ̈, wͽrwȣ̈sͽ, wͽrwȣ̈sȣ̈, werkͽt͡ʃͽ, werkͽt͡ʃȣ̈, werkͽsͽ, werkͽsȣ̈, werkȣ̈t͡ʃͽ, werkȣ̈t͡ʃȣ̈, werkȣ̈sͽ, werkȣ̈sȣ̈, werwͽt͡ʃͽ, werwͽt͡ʃȣ̈, werwͽsͽ, werwͽsȣ̈, werwȣ̈t͡ʃͽ, werwȣ̈t͡ʃȣ̈, werwȣ̈sͽ, werwȣ̈sȣ̈"
𐍆𐌰𐌿𐍂𐌷𐌰𐌷,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌷𐌰𐌷#Gothic,faurhah,ɸɔrhah,"curtain, veil",n,ɸɔrhah,wͽrɣͽɣͽ,"wͽrɣͽɣͽ, wͽrɣͽɣe, wͽrɣɑɣͽ, wͽrɣɑɣe, wͽrkͽkͽ, wͽrkͽke, wͽrkɑkͽ, wͽrkɑke, wȣrɣͽɣͽ, wȣrɣͽɣe, wȣrɣɑɣͽ, wȣrɣɑɣe, wȣrkͽkͽ, wȣrkͽke, wȣrkɑkͽ, wȣrkɑke, worɣͽɣͽ, worɣͽɣe, worɣɑɣͽ, worɣɑɣe, workͽkͽ, workͽke, workɑkͽ, workɑke"
𐍆𐌰𐌿𐍂𐌷𐍄𐌴𐌹,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌷𐍄𐌴𐌹#Gothic,faurhtēi,ɸɔrhteɪ,"fright, fear",n,ɸɔrhteɪ,wͽrɣtͽ,"wͽrɣtͽ, wͽrɣtɑ, wͽrɣtu, wͽrktͽ, wͽrktɑ, wͽrktu, wͽrjtͽ, wͽrjtɑ, wͽrjtu, wȣrɣtͽ, wȣrɣtɑ, wȣrɣtu, wȣrktͽ, wȣrktɑ, wȣrktu, wȣrjtͽ, wȣrjtɑ, wȣrjtu, worɣtͽ, worɣtɑ, worɣtu, worktͽ, worktɑ, worktu, worjtͽ, worjtɑ, worjtu"
𐍆𐌰𐌿𐍂𐌷𐍄𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌷𐍄𐌾𐌰𐌽#Gothic,faurhtjan,ɸɔrhtjan,"fear, be_afraid",v,ɸɔrhtj,wͽrɣͽtjͽ,"wͽrɣͽtjͽ, wͽrɣͽtjɑ, wͽrɣetjͽ, wͽrɣetjɑ, wͽrkͽtjͽ, wͽrkͽtjɑ, wͽrketjͽ, wͽrketjɑ, wȣrɣͽtjͽ, wȣrɣͽtjɑ, wȣrɣetjͽ, wȣrɣetjɑ, wȣrkͽtjͽ, wȣrkͽtjɑ, wȣrketjͽ, wȣrketjɑ, worɣͽtjͽ, worɣͽtjɑ, worɣetjͽ, worɣetjɑ, workͽtjͽ, workͽtjɑ, worketjͽ, worketjɑ"
𐍆𐌰𐌿𐍂𐌷𐍄𐍃,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌷𐍄𐍃#Gothic,faurhts,ɸɔrhts,"fearful, afraid, scared",a,ɸɔrhts,wͽrɣͽtsͽ,"wͽrɣͽtsͽ, wͽrɣetse, wͽrɣɑtsɑ, wͽrkͽtsͽ, wͽrketse, wͽrkɑtsɑ, wͽrjͽtsͽ, wͽrjetse, wͽrjɑtsɑ, wȣrɣͽtsͽ, wȣrɣetse, wȣrɣɑtsɑ, wȣrkͽtsͽ, wȣrketse, wȣrkɑtsɑ, wȣrjͽtsͽ, wȣrjetse, wȣrjɑtsɑ, worɣͽtsͽ, worɣetse, worɣɑtsɑ, workͽtsͽ, worketse, workɑtsɑ, worjͽtsͽ, worjetse, worjɑtsɑ"
𐍆𐌰𐌿𐍂𐌸𐌹𐌶𐌴,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌸𐌹𐌶𐌴#Gothic,faurþizē,ɸɔrθɪze,Alternative_form_of_𐍆𐌰𐌿𐍂𐌸𐌹𐌶𐌴𐌹,r,ɸɔrθɪze,wͽrt͡ʃͽðͽ,"wͽrt͡ʃͽðͽ, wͽrt͡ʃͽðȣ̈, wͽrt͡ʃͽsͽ, wͽrt͡ʃͽsȣ̈, wͽrt͡ʃȣ̈ðͽ, wͽrt͡ʃȣ̈ðȣ̈, wͽrt͡ʃȣ̈sͽ, wͽrt͡ʃȣ̈sȣ̈, wͽrsͽðͽ, wͽrsͽðȣ̈, wͽrsͽsͽ, wͽrsͽsȣ̈, wͽrsȣ̈ðͽ, wͽrsȣ̈ðȣ̈, wͽrsȣ̈sͽ, wͽrsȣ̈sȣ̈, wert͡ʃͽðͽ, wert͡ʃͽðȣ̈, wert͡ʃͽsͽ, wert͡ʃͽsȣ̈, wert͡ʃȣ̈ðͽ, wert͡ʃȣ̈ðȣ̈, wert͡ʃȣ̈sͽ, wert͡ʃȣ̈sȣ̈, wersͽðͽ, wersͽðȣ̈, wersͽsͽ, wersͽsȣ̈, wersȣ̈ðͽ, wersȣ̈ðȣ̈, wersȣ̈sͽ, wersȣ̈sȣ̈"
𐍆𐌰𐌿𐍂𐌸𐌹𐌶𐌴𐌹,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌸𐌹𐌶𐌴𐌹#Gothic,faurþizēi,ɸɔrθɪzeɪ,before,r,ɸɔrθɪzeɪ,wͽrt͡ʃͽðͽ,"wͽrt͡ʃͽðͽ, wͽrt͡ʃͽðȣ̈, wͽrt͡ʃͽsͽ, wͽrt͡ʃͽsȣ̈, wͽrt͡ʃȣ̈ðͽ, wͽrt͡ʃȣ̈ðȣ̈, wͽrt͡ʃȣ̈sͽ, wͽrt͡ʃȣ̈sȣ̈, wͽrsͽðͽ, wͽrsͽðȣ̈, wͽrsͽsͽ, wͽrsͽsȣ̈, wͽrsȣ̈ðͽ, wͽrsȣ̈ðȣ̈, wͽrsȣ̈sͽ, wͽrsȣ̈sȣ̈, wert͡ʃͽðͽ, wert͡ʃͽðȣ̈, wert͡ʃͽsͽ, wert͡ʃͽsȣ̈, wert͡ʃȣ̈ðͽ, wert͡ʃȣ̈ðȣ̈, wert͡ʃȣ̈sͽ, wert͡ʃȣ̈sȣ̈, wersͽðͽ, wersͽðȣ̈, wersͽsͽ, wersͽsȣ̈, wersȣ̈ðͽ, wersȣ̈ðȣ̈, wersȣ̈sͽ, wersȣ̈sȣ̈"
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌴𐌹𐌽𐍃#Gothic,faurlagēins,ɸɔrlaɣeɪns,", laying_before, , presentation",n,ɸɔrlaɣeɪns,wͽrlͽɣͽ,"wͽrlͽɣͽ, wͽrlͽɣȣ̈, wͽrlͽɣe, wͽrlȣ̈ɣͽ, wͽrlȣ̈ɣȣ̈, wͽrlȣ̈ɣe, wͽrlɑɣͽ, wͽrlɑɣȣ̈, wͽrlɑɣe, werlͽɣͽ, werlͽɣȣ̈, werlͽɣe, werlȣ̈ɣͽ, werlȣ̈ɣȣ̈, werlȣ̈ɣe, werlɑɣͽ, werlɑɣȣ̈, werlɑɣe, wærlͽɣͽ, wærlͽɣȣ̈, wærlͽɣe, wærlȣ̈ɣͽ, wærlȣ̈ɣȣ̈, wærlȣ̈ɣe, wærlɑɣͽ, wærlɑɣȣ̈, wærlɑɣe"
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌽#Gothic,faurlagjan,ɸɔrlaɣjan,"set_before, put_in_front_of",v,ɸɔrlaɣj,wͽrlͽɣjͽ,"wͽrlͽɣjͽ, wͽrlȣ̈ɣjȣ̈, wͽrlɑɣjɑ, wͽrlæɣjæ, werlͽɣjͽ, werlȣ̈ɣjȣ̈, werlɑɣjɑ, werlæɣjæ, wærlͽɣjͽ, wærlȣ̈ɣjȣ̈, wærlɑɣjɑ, wærlæɣjæ, wirlͽɣjͽ, wirlȣ̈ɣjȣ̈, wirlɑɣjɑ, wirlæɣjæ, wȣ̈rlͽɣjͽ, wȣ̈rlȣ̈ɣjȣ̈, wȣ̈rlɑɣjɑ, wȣ̈rlæɣjæ"
𐍆𐌰𐌿𐍂𐌼𐌿𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐌼𐌿𐌻𐌾𐌰𐌽#Gothic,faurmuljan,ɸɔrmuljan,muzzle,v,ɸɔrmulj,wͽrmͽljͽ,"wͽrmͽljͽ, wͽrmͽljɑ, wͽrmͽlju, wͽrmȣljͽ, wͽrmȣljɑ, wͽrmȣlju, wͽrmuljͽ, wͽrmuljɑ, wͽrmulju, wȣrmͽljͽ, wȣrmͽljɑ, wȣrmͽlju, wȣrmȣljͽ, wȣrmȣljɑ, wȣrmȣlju, wȣrmuljͽ, wȣrmuljɑ, wȣrmulju, wormͽljͽ, wormͽljɑ, wormͽlju, wormȣljͽ, wormȣljɑ, wormȣlju, wormuljͽ, wormuljɑ, wormulju"
𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽#Gothic,faurrinnan,ɸɔrrɪnnan,"precede, be_, precursor_to",v,ɸɔrrɪnn,wͽrrͽnnͽ,"wͽrrͽnnͽ, wͽrrͽnnȣ̈, wͽrrͽnnɑ, wͽrrȣ̈nnͽ, wͽrrȣ̈nnȣ̈, wͽrrȣ̈nnɑ, wͽrrinnͽ, wͽrrinnȣ̈, wͽrrinnɑ, werrͽnnͽ, werrͽnnȣ̈, werrͽnnɑ, werrȣ̈nnͽ, werrȣ̈nnȣ̈, werrȣ̈nnɑ, werrinnͽ, werrinnȣ̈, werrinnɑ, wærrͽnnͽ, wærrͽnnȣ̈, wærrͽnnɑ, wærrȣ̈nnͽ, wærrȣ̈nnȣ̈, wærrȣ̈nnɑ, wærrinnͽ, wærrinnȣ̈, wærrinnɑ"
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽#Gothic,faursigljan,ɸɔrsɪɣl̥jan,seal,v,ɸɔrsɪɣl̥j,wͽrsͽɣlͽ,"wͽrsͽɣlͽ, wͽrsͽɣlȣ̈, wͽrsͽɣlɑ, wͽrsȣ̈ɣlͽ, wͽrsȣ̈ɣlȣ̈, wͽrsȣ̈ɣlɑ, wͽrsiɣlͽ, wͽrsiɣlȣ̈, wͽrsiɣlɑ, wersͽɣlͽ, wersͽɣlȣ̈, wersͽɣlɑ, wersȣ̈ɣlͽ, wersȣ̈ɣlȣ̈, wersȣ̈ɣlɑ, wersiɣlͽ, wersiɣlȣ̈, wersiɣlɑ, wærsͽɣlͽ, wærsͽɣlȣ̈, wærsͽɣlɑ, wærsȣ̈ɣlͽ, wærsȣ̈ɣlȣ̈, wærsȣ̈ɣlɑ, wærsiɣlͽ, wærsiɣlȣ̈, wærsiɣlɑ"
𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽,https://en.wiktionary.org/wiki/𐍆𐌰𐌿𐍂𐍃𐌽𐌹𐍅𐌰𐌽#Gothic,faursniwan,ɸɔrsnɪwan,come_beforehand,v,ɸɔrsnɪw,wͽrsͽwͽ,"wͽrsͽwͽ, wͽrsͽwȣ̈, wͽrsͽwɑ, wͽrsȣ̈wͽ, wͽrsȣ̈wȣ̈, wͽrsȣ̈wɑ, wͽrsiwͽ, wͽrsiwȣ̈, wͽrsiwɑ, wersͽwͽ, wersͽwȣ̈, wersͽwɑ, wersȣ̈wͽ, wersȣ̈wȣ̈, wersȣ̈wɑ, wersiwͽ, wersiwȣ̈, wersiwɑ, wærsͽwͽ, wærsͽwȣ̈, wærsͽwɑ, wærsȣ̈wͽ, wærsȣ̈wȣ̈, wærsȣ̈wɑ, wærsiwͽ, wærsiwȣ̈, wærsiwɑ"
