#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung,link
4322,swarts* 1,got,Adj.,schwarz,black (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=217
4323,swaswē 182=180,got,"Adv., Konj.","sowie, gleichwie, wie, gegen (bei Zahlen), so dass","so as, as just as, like (Adj.), as like, according as, approximately, so that, t>>>",https://koeblergerhard.de/wikiling/?f=got&page=217
4324,"swaþþan 1, swahþan*",got,"Adv., Konj.",so nun,"and so when, and thus when, hence when, thus now",https://koeblergerhard.de/wikiling/?f=got&page=217
4325,swau 1,got,"Partikel, Adv.",so,"is it thus that, is it in such a way that, so also",https://koeblergerhard.de/wikiling/?f=got&page=217
4326,swē 181,got,"Adv., Konj.","wie, gegen, als, da","as, just as, in like manner as, as if, like (Adj.), approximately, something lik>>>",https://koeblergerhard.de/wikiling/?f=got&page=217
4327,*Swēbōs?,got,M.,"Schwaben, Sweben",Swabians,https://koeblergerhard.de/wikiling/?f=got&page=217
4328,"swēgniþa 2, swigniþa*",got,F.,"Jubel, Frohlocken, Freude","exultation, rejoicing, gladness, joy",https://koeblergerhard.de/wikiling/?f=got&page=217
4329,"swēgnjan* 4, swignjan",got,V.,"jubeln, triumphieren, frohlocken","exult, triumph (V.), jubilate (V.), rejoice (V.)",https://koeblergerhard.de/wikiling/?f=got&page=217
4330,*swēgns?,got,Adj.,"froh, fröhlich","happy, merry, jubilant",https://koeblergerhard.de/wikiling/?f=got&page=217
4331,sweiban* 1,got,V.,"ablassen, aufhören","cease (V.), leave off, pause (V.), stop (V.)",https://koeblergerhard.de/wikiling/?f=got&page=217
4332,*sweibands?,got,"V., Adj.",aufhörlich,ceasing,https://koeblergerhard.de/wikiling/?f=got&page=217
4333,swein* 12,got,N.,Schwein,"swine, pig (N.)",https://koeblergerhard.de/wikiling/?f=got&page=217
4334,*sweins?,got,Adj.,Sau-,"sowlike, swinish, porcine, piglike",https://koeblergerhard.de/wikiling/?f=got&page=217
4335,*sweipains?,got,F.,Fegung,sweeping (N.),https://koeblergerhard.de/wikiling/?f=got&page=217
4336,*sweipan?,got,V.,"fegen, sich schwingend bewegen",sweep (V.),https://koeblergerhard.de/wikiling/?f=got&page=217
4337,swekunþs*,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=217
4338,*Swēōs?,got,M.,Schweden,Swedes,https://koeblergerhard.de/wikiling/?f=got&page=217
4339,swēran* 13,got,V.,"ehren, achten","honour (V.), render honour to, esteem (V.), exalt",https://koeblergerhard.de/wikiling/?f=got&page=217
4340,*swērei?,got,F.,Ehre,honour (N.),https://koeblergerhard.de/wikiling/?f=got&page=217
4341,swēriþa 13,got,F.,Ehre,"honour (N.), dignity",https://koeblergerhard.de/wikiling/?f=got&page=218
4342,swērs 3,got,Adj.,"geehrt, geachtet, gewichtig","honoured, dignified, esteemed",https://koeblergerhard.de/wikiling/?f=got&page=218
4343,swēs (1) 29,got,Adj.,"eigen, angehörig","one’s own, very own",https://koeblergerhard.de/wikiling/?f=got&page=218
4344,swēs* (2) 3,got,N.,"Eigentum, Vermögen","what is owned, ownings, property",https://koeblergerhard.de/wikiling/?f=got&page=218
4345,swēþauh 36=34,got,Partikel,"doch zwar, wenigstens","indeed, admittedly, but",https://koeblergerhard.de/wikiling/?f=got&page=218
4346,swibls* 1,got,M.,Schwefel,"sulphur, brimstone",https://koeblergerhard.de/wikiling/?f=got&page=218
4347,*swiggwan,got,V.,sich schwingen,swing o.s.,https://koeblergerhard.de/wikiling/?f=got&page=218
4348,"*swigl, *swigls?",got,"N., M.",Flöte,flute (N.),https://koeblergerhard.de/wikiling/?f=got&page=218
4349,swiglja* 1,got,M.,"Flötenspieler, Flötenbläser","flutist, flute-player",https://koeblergerhard.de/wikiling/?f=got&page=218
4350,swiglōn* 2,got,V.,"Flöte blasen, aufspielen","play the flute, pipe (V.)",https://koeblergerhard.de/wikiling/?f=got&page=218
4351,*swigls,got,"N., M.",,,https://koeblergerhard.de/wikiling/?f=got&page=218
4352,swigniþa*,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=218
4353,swignjan,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=218
4354,swiknaba* 1,got,Adv.,"rein, reinen Herzens","innocently, blamelessly, sincerely",https://koeblergerhard.de/wikiling/?f=got&page=218
4355,swiknei 3,got,F.,"Reinheit, Keuschheit, Unschuld","pureness, integrity, purity, chastity, inculpability",https://koeblergerhard.de/wikiling/?f=got&page=218
4356,swikneins* 3,got,F.,Reinigung,"absolution, exculpation, exoneration, purification",https://koeblergerhard.de/wikiling/?f=got&page=218
4357,swikniþa* 2,got,F.,"Reinigung, Reinheit, Keuschheit","purifiedness, purity, guiltlessness, impeccability, chastity",https://koeblergerhard.de/wikiling/?f=got&page=218
4358,*swiknjan?,got,V.,reinigen,"absolve, exculpate, make taintless",https://koeblergerhard.de/wikiling/?f=got&page=218
4359,swikns* 4,got,Adj.,"rein, unschuldig, unsträflich, keusch","innocent, pure, irreproachable, irreprehensible, guiltless, chaste",https://koeblergerhard.de/wikiling/?f=got&page=218
4360,swikunþaba 5,got,Adv.,"offenbar, offen heraus, deutlich, ausdrücklich","plainly, openly, clearly, in an obvious manner",https://koeblergerhard.de/wikiling/?f=got&page=218
4361,*swikunþjan?,got,V.,"bekanntgeben, offenbaren","publicize, make openly known",https://koeblergerhard.de/wikiling/?f=got&page=219
4362,"swikunþs 17, swekunþs*",got,Adj.,"offenkundig, offenbar, bekannt","known openly, conspicuously known, known by its obviousness, manifest (Adj.), ob>>>",https://koeblergerhard.de/wikiling/?f=got&page=219
4363,*swillan,got,V.,schwellen,swell (V.),https://koeblergerhard.de/wikiling/?f=got&page=219
4364,swiltan* 1,got,V.,"im Sterben liegen, sterben","die, lie (V.) (2) dying",https://koeblergerhard.de/wikiling/?f=got&page=219
4365,*swimman,got,V.,schwimmen,swim (V.),https://koeblergerhard.de/wikiling/?f=got&page=219
4366,swinþei* 3,got,F.,"Stärke, Kraft","strength, power (N.)",https://koeblergerhard.de/wikiling/?f=got&page=219
4367,*swinþjan?,got,V.,stärken,strengthen,https://koeblergerhard.de/wikiling/?f=got&page=219
4368,swinþnan* 2,got,V.,stark werden,become strong,https://koeblergerhard.de/wikiling/?f=got&page=219
4369,swinþs* 11=10,got,Adj.,"stark, kräftig, gesund","strong, physically powerful, healthy, sound (Adj.), robust",https://koeblergerhard.de/wikiling/?f=got&page=219
4370,swistar 15,got,F.,Schwester,sister,https://koeblergerhard.de/wikiling/?f=got&page=219
4371,swnagōgafaþs* 4,got,M.,Synagogenvorsteher,"synagogue leader, ruler of the synagogue",https://koeblergerhard.de/wikiling/?f=got&page=219
4372,swnagōgē* 19,got,F.,Synagoge,synagogue,https://koeblergerhard.de/wikiling/?f=got&page=219
4373,*swōgan,got,V.,"rauschen, tönen","sough (V.), resound (V.)",https://koeblergerhard.de/wikiling/?f=got&page=219
4374,swōgatjan* 2,got,V.,seufzen,"sigh (V.), groan (V.)",https://koeblergerhard.de/wikiling/?f=got&page=219
4375,*swōgjan?,got,V.,seufzen,sigh (V.),https://koeblergerhard.de/wikiling/?f=got&page=219
4376,*swōgs?,got,M.,Geräusch (N.) (1),"noise, rustle (N.)",https://koeblergerhard.de/wikiling/?f=got&page=219
4377,swultawaírþja 1,got,M.,"dem Tode Naher, Todgeweihter","one approaching death, one about to die, moribund person",https://koeblergerhard.de/wikiling/?f=got&page=219
4378,*swultawaírþs?,got,Adj.,"auf den Tod gerichtet, todgeweiht","about to die, moribund, at the point of death",https://koeblergerhard.de/wikiling/?f=got&page=219
4379,swults* 1,got,"M., M.",Tod,death,https://koeblergerhard.de/wikiling/?f=got&page=219
4380,"swumfsl* 2, swumsl",got,N.,Teich,"pool, pond, place for swimming",https://koeblergerhard.de/wikiling/?f=got&page=219
4381,swumsl,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=220
4382,t 2,got,Buchstabe,"t, Abkürzung für 300","t, abbreviation for 300",https://koeblergerhard.de/wikiling/?f=got&page=220
4383,*taban?,got,Sb.,"Opfer, Opfertier","sacrifice (N.), sacrificial animal",https://koeblergerhard.de/wikiling/?f=got&page=220
4384,*taddora?,got,F.,"Zottel, Fetzen, Flausch","shred (N.), strand of hair",https://koeblergerhard.de/wikiling/?f=got&page=220
4385,tag,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=220
4386,tagl* 3,got,N.,Haar,hair (N.),https://koeblergerhard.de/wikiling/?f=got&page=220
4387,tagr* 5,got,N.,"Zähre, Träne","teardrop, tear (N.) (1)",https://koeblergerhard.de/wikiling/?f=got&page=220
4388,tagrjan* 1,got,V.,weinen,"weep (V.), shed tears",https://koeblergerhard.de/wikiling/?f=got&page=220
4389,*tahanjan?,got,V.,"zäh sein (V.), streiten","be tough, argue, quarrel (V.)",https://koeblergerhard.de/wikiling/?f=got&page=220
4390,*taheins?,got,F.,Zerreißung,tear (N.) (2),https://koeblergerhard.de/wikiling/?f=got&page=220
4391,tahjan* 6,got,V.,"reißen, zerren, ausstreuen","lacerate, tear (V.) (2), rend (V.)",https://koeblergerhard.de/wikiling/?f=got&page=220
4392,*tāhus,got,Adj.,zäh,tough (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=220
4393,taíhswa* (1) 19,got,Adj.,rechte,"right (Adj.), dexter",https://koeblergerhard.de/wikiling/?f=got&page=220
4394,taíhswa* (2) 2,got,F.,"die Rechte, die rechte Hand","the right, right hand",https://koeblergerhard.de/wikiling/?f=got&page=220
4395,taíhun 12,got,Num.,zehn,ten,https://koeblergerhard.de/wikiling/?f=got&page=220
4396,taíhunda* 1,got,Num.,zehnte,tenth,https://koeblergerhard.de/wikiling/?f=got&page=220
4397,taíhuntaíhundfalþs* 1,got,Adj.,hundertfältig,"hundred-fold, centuple",https://koeblergerhard.de/wikiling/?f=got&page=220
4398,taíhuntēhund 3,got,Num.,hundert,hundred,https://koeblergerhard.de/wikiling/?f=got&page=220
4399,taíhuntēweis* 1,got,Adj.,zehnreihig,"decatypal, decimal-systemed",https://koeblergerhard.de/wikiling/?f=got&page=220
4400,taikn 2,got,N.,Anzeichen,"token (N.), evidence, display (N.), something exhibited",https://koeblergerhard.de/wikiling/?f=got&page=220
4401,*taikneins?,got,F.,"Zeichnung, Darstellung","drawing (N.), showing (N.)",https://koeblergerhard.de/wikiling/?f=got&page=221
4402,taiknjan* 4,got,V.,einem etwas zeigen,"show (V.), exhibit, display (V.), manifest (V.)",https://koeblergerhard.de/wikiling/?f=got&page=221
4403,taikns 21,got,F.,"Zeichen, Wunder","sign (N.), indication, miracle, token (N.)",https://koeblergerhard.de/wikiling/?f=got&page=221
4404,tainjō* 5,got,F.,"Korb, Weidenkorb","basket (N.), wicker basket, basket made of branches or switches",https://koeblergerhard.de/wikiling/?f=got&page=221
4405,tains* 1,got,M.,"Zweig, Rebe","branch (N.), shoot (N.), twig (N.) (1)",https://koeblergerhard.de/wikiling/?f=got&page=221
4406,*taíran?,got,V.,"zerstören, zerreißen, auflösen","tear down, dismantle, demolish, ruin (V.)",https://koeblergerhard.de/wikiling/?f=got&page=221
4407,*Taírwiggōs?,got,M.,Waldbewohner,"woodlanders, inhabitants of the wood",https://koeblergerhard.de/wikiling/?f=got&page=221
4408,taítrarkēs 2,got,M.,"Tetrarch, Vierfürst","tetrarch (M.), ruler of one of the quarters into which a country or province was>>>",https://koeblergerhard.de/wikiling/?f=got&page=221
4409,taleiþa 1,got,F.,Mägdlein,"young maiden, little girl",https://koeblergerhard.de/wikiling/?f=got&page=221
4410,*talōn?,got,V.,"verwüsten, wegreißen","devastate, ravage (V.)",https://koeblergerhard.de/wikiling/?f=got&page=221
4411,*tals?,got,Adj.,"fügsam, gehorsam","educated, trained, disciplined",https://koeblergerhard.de/wikiling/?f=got&page=221
4412,talzeins* 1,got,F.,"Lehre, Unterweisung","upbringing, training, instruction, correction, discipline (N.)",https://koeblergerhard.de/wikiling/?f=got&page=221
4413,talzjan* 7,got,V.,"lehren, ziehen, unterrichten","educate, instruct, train (V.), discipline (V.), correct (V.), admonish, chastise",https://koeblergerhard.de/wikiling/?f=got&page=221
4414,talzjands* 6,got,M.,Lehrer,"trainer, headmaster, master (M.), tutor, lesson-teacher, instructor",https://koeblergerhard.de/wikiling/?f=got&page=221
4415,*tamjan,got,V.,zähmen,tame (V.),https://koeblergerhard.de/wikiling/?f=got&page=221
4416,*tams,got,Adj.,zahm,"tame (Adj.), domesticated, housebroken",https://koeblergerhard.de/wikiling/?f=got&page=221
4417,tandjan* 2,got,V.,"anzünden, brennen machen","kindle (V.), ignite, make burn, light a lamp",https://koeblergerhard.de/wikiling/?f=got&page=221
4418,"*-tani?, *tani?",got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=221
4419,*tappa?,got,M.,Zapfen,tap (N.) (1),https://koeblergerhard.de/wikiling/?f=got&page=221
4420,*tarhjan?,got,V.,kennzeichnen,"mark (V.), indicate",https://koeblergerhard.de/wikiling/?f=got&page=221
4421,tarmjan* 1,got,V.,"losbrechen, ausbrechen","vent (V.), break forth, burst out",https://koeblergerhard.de/wikiling/?f=got&page=222
4422,*tarnjan?,got,V.,rauben,wrest (V.),https://koeblergerhard.de/wikiling/?f=got&page=222
4423,*taskōn?,got,V.,raffen,"pile (V.), heap (V.)",https://koeblergerhard.de/wikiling/?f=got&page=222
4424,*tass?,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=222
4425,*taturō?,got,F.,Zotte (F.) (1),tuft of hair,https://koeblergerhard.de/wikiling/?f=got&page=222
4426,*taúhts?,got,F.,"Ziehung, Führung","guidance, tearing",https://koeblergerhard.de/wikiling/?f=got&page=222
4427,táui 8,got,N.,"Werk, Tat","work (N.), act (N.), activity, action, deed, product (N.), effect (N.)",https://koeblergerhard.de/wikiling/?f=got&page=222
4428,taujan 212=210,got,V.,"tun, machen, wirken","do, act (V.), engage in, execute, perform, make (V.), form (V.), construct (V.),>>>",https://koeblergerhard.de/wikiling/?f=got&page=222
4429,*taujands?,got,M.,Täter,culprit,https://koeblergerhard.de/wikiling/?f=got&page=222
4430,*taúra?,got,M.,Riss,"rent (N.), tear (N.) (2)",https://koeblergerhard.de/wikiling/?f=got&page=222
4431,*taúrnan,got,V.,reißen,tear (V.) (2),https://koeblergerhard.de/wikiling/?f=got&page=222
4432,*taúrþs,got,F.,Zerstörung,"tearing down (N.), demolition",https://koeblergerhard.de/wikiling/?f=got&page=222
4433,te (2)? 1,got,Wort,,,https://koeblergerhard.de/wikiling/?f=got&page=222
4434,*tē,got,Konj.,"bis, zu","until, to",https://koeblergerhard.de/wikiling/?f=got&page=222
4435,-tēhund,got,V.,-zig,-ty,https://koeblergerhard.de/wikiling/?f=got&page=222
4436,*teihan,got,V.,"kündigen, zeigen","announce, show (V.)",https://koeblergerhard.de/wikiling/?f=got&page=222
4437,teikan*,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=222
4438,"*-teins, *teins",got,"Adj., V.",,,https://koeblergerhard.de/wikiling/?f=got&page=222
4439,"tēkan* 7, teikan*",got,V.,"anrühren, berühren","touch (V.), come into contact with, put one’s touch on",https://koeblergerhard.de/wikiling/?f=got&page=222
4440,telich 1,got,Adj.,töricht,foolish,https://koeblergerhard.de/wikiling/?f=got&page=222
4441,*tēlōn,got,V.,schaden,"damage (V.), harm (V.)",https://koeblergerhard.de/wikiling/?f=got&page=223
4442,*tēmiba,got,Adv.,ziemend,"congruently, appositely",https://koeblergerhard.de/wikiling/?f=got&page=223
4443,*tēms?,got,Adj.,ziemend,congruent,https://koeblergerhard.de/wikiling/?f=got&page=223
4444,Tērvingi*,got,M.,"„Waldbewohner“ (Pl.), Westgoten","woodlanders, inhabitants of the wood, Visigoths",https://koeblergerhard.de/wikiling/?f=got&page=223
4445,tēwa* 1,got,F.,Ordnung,"order (N.), array (N.), arrangement, alignment",https://koeblergerhard.de/wikiling/?f=got&page=223
4446,"*-tēweis, *tēweis",got,V.,-teilig,"ranked, ordered, classed",https://koeblergerhard.de/wikiling/?f=got&page=223
4447,*tēwiþs,got,"V., Adj.",,,https://koeblergerhard.de/wikiling/?f=got&page=223
4448,*tēwjan,got,V.,anordnen,order (V.),https://koeblergerhard.de/wikiling/?f=got&page=223
4449,th,got,,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4450,the 2,got,Art.,der,the,https://koeblergerhard.de/wikiling/?f=got&page=223
4451,thiine,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4452,thiinetria*,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4453,thiinetua*,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4454,thiinita,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4455,"thīnita* 1, thiinita",got,Num.,elf,eleven,https://koeblergerhard.de/wikiling/?f=got&page=223
4456,"thīntria* 1, thiinetria*, thunetria",got,Num.,dreizehn,thirteen,https://koeblergerhard.de/wikiling/?f=got&page=223
4457,"thīntua* 1, thiinetua*, thunetua",got,Num.,zwölf,twelve,https://koeblergerhard.de/wikiling/?f=got&page=223
4458,tho,got,Art.,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4459,thunetria,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4460,thunetua,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=223
4461,thurn,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4462,thyth,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4463,tibr* 1,got,N.,Opfer,"sacrificial gift, oblation",https://koeblergerhard.de/wikiling/?f=got&page=224
4464,"tigjus* 12, tigus*",got,"M., N.","Zehnzahl, ...zig","tens, -ty",https://koeblergerhard.de/wikiling/?f=got&page=224
4465,tigus*,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4466,*tilaba,got,Adv.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4467,*tilamalsks,got,Adj.,besonnen (Adj.),"fitting, suitable",https://koeblergerhard.de/wikiling/?f=got&page=224
4468,tilarēþs* 1,got,M.,Zielrat,aiming advice,https://koeblergerhard.de/wikiling/?f=got&page=224
4469,*tilōn,got,V.,"zielen, streben","aim (V.), strive",https://koeblergerhard.de/wikiling/?f=got&page=224
4470,tils* 1,got,"Adj., Sb., N.","zielstrebig, passend?, geschickt?","apposite?, fitting?, suitable?",https://koeblergerhard.de/wikiling/?f=got&page=224
4471,*timan?,got,V.,"sich ziemen, geziemen","be congruent with, fit in with",https://koeblergerhard.de/wikiling/?f=got&page=224
4472,*timbr?,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4473,timbrja*,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4474,timbrjan,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4475,"*timr, *timbr",got,N.,Bauholz,"building timber, construction lumber",https://koeblergerhard.de/wikiling/?f=got&page=224
4476,timreins* 7,got,F.,Erbauung,"building, edifice, edification",https://koeblergerhard.de/wikiling/?f=got&page=224
4477,"timrja 3, timbrja*",got,M.,Zimmermann,"carpenter, wood-worker",https://koeblergerhard.de/wikiling/?f=got&page=224
4478,"timrjan* 9, timbrjan",got,V.,"bauen, zimmern, erbauen","build (V.), construct (V.), strengthen, benefit (V.), edify",https://koeblergerhard.de/wikiling/?f=got&page=224
4479,*timrjō?,got,F.,"Bau, Gebäude","building, edifice",https://koeblergerhard.de/wikiling/?f=got&page=224
4480,"tīne*, thiine",got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=224
4481,tiuhan 12,got,V.,"ziehen, führen, wegführen","lead (V.), guide (V.), conduct (V.), bring",https://koeblergerhard.de/wikiling/?f=got&page=225
4482,*tiuhi,got,N.,"Ruck, Zug (1)","jerk (N.) (1), tug (N.)",https://koeblergerhard.de/wikiling/?f=got&page=225
4483,tk 1,got,Abkürzung,320,320,https://koeblergerhard.de/wikiling/?f=got&page=225
4484,tlg 1,got,Abkürzung,333,333,https://koeblergerhard.de/wikiling/?f=got&page=225
4485,tme 1,got,Abkürzung,345,345,https://koeblergerhard.de/wikiling/?f=got&page=225
4486,"*-tōjis?, *tōjis?",got,"Adj., M.","getan habend, tuend, Tuer","-doer, -worker",https://koeblergerhard.de/wikiling/?f=got&page=225
4487,*tōl-,got,Sb.,Gefahr?,danger?,https://koeblergerhard.de/wikiling/?f=got&page=225
4488,tráuains 8,got,F.,"Vertrauen, Zuversicht","trusting, trust (N.), confidence",https://koeblergerhard.de/wikiling/?f=got&page=225
4489,tráuan 4,got,V.,"trauen, Zutrauen haben","trust (V.), have confidence, rely on, confide in",https://koeblergerhard.de/wikiling/?f=got&page=225
4490,trausti* 1,got,N.,"Bündnis, Bund, Vertrag","covenant, pact (N.)",https://koeblergerhard.de/wikiling/?f=got&page=225
4491,*trausts?,got,Adj.,"stark, fest",promising fidelity,https://koeblergerhard.de/wikiling/?f=got&page=225
4492,treithyen,got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=225
4493,tria,got,"Num., N.",,,https://koeblergerhard.de/wikiling/?f=got&page=225
4494,*trigan,got,V.,"trauern, betrüben","trouble (V.), grieve",https://koeblergerhard.de/wikiling/?f=got&page=225
4495,triggwa 8=7,got,F.,"Bündnis, Bund","bequest (N.), testament (N.), entrustment, covenant",https://koeblergerhard.de/wikiling/?f=got&page=225
4496,triggwaba 2,got,Adv.,"treulich, zuverlässig","confidently, trustingly, surely, firmly",https://koeblergerhard.de/wikiling/?f=got&page=225
4497,triggws 26,got,Adj.,"treu, zuverlässig","trusting (Adj.), confident, trustworthy, faithful",https://koeblergerhard.de/wikiling/?f=got&page=225
4498,trigō* 1,got,F.,"Trauer, Unlust","grief, sadness, woefulness, regret (N.)",https://koeblergerhard.de/wikiling/?f=got&page=225
4499,*trimpan?,got,V.,treten,"step (V.), tread (V.)",https://koeblergerhard.de/wikiling/?f=got&page=225
4500,triniungeldo 3,got,Sb.,"Dreineungeld, Siebenundzwanzigfachentgelt",twenty-seven compensations,https://koeblergerhard.de/wikiling/?f=got&page=225
4501,*trippōn?,got,V.,"trippeln, hüpfen, springen","toddle (V.), hop (V.) (1), jump (V.)",https://koeblergerhard.de/wikiling/?f=got&page=226
4502,triu* 2,got,N.,"Holz, Prügel, Baum","wooden trunk, woody stem, vine, stick (N.)",https://koeblergerhard.de/wikiling/?f=got&page=226
4503,triweins* 1,got,Adj.,hölzern,"wooden, woody, of wood",https://koeblergerhard.de/wikiling/?f=got&page=226
4504,trudan 2,got,V.,"treten, keltern","trample (V.), tread on",https://koeblergerhard.de/wikiling/?f=got&page=226
4505,*trusgjan?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=226
4506,*trusnjan?,got,V.,streuen,scatter (V.),https://koeblergerhard.de/wikiling/?f=got&page=226
4507,tua,got,"Num., N.",,,https://koeblergerhard.de/wikiling/?f=got&page=226
4508,tufa,got,F.,Helmbüschel,plume (N.),https://koeblergerhard.de/wikiling/?f=got&page=226
4509,"*-tuga, *tuga",got,M.,"„Zieher“, Führer",commander,https://koeblergerhard.de/wikiling/?f=got&page=226
4510,tuggl* 1,got,N.,Gestirn,"constellation, celestial body, star (N.)",https://koeblergerhard.de/wikiling/?f=got&page=226
4511,tuggō 3,got,F.,Zunge,tongue,https://koeblergerhard.de/wikiling/?f=got&page=226
4512,*tuld-,got,Sb.,"Zelt, Vorhang","tent (N.) (1), curtain (N.)",https://koeblergerhard.de/wikiling/?f=got&page=226
4513,tulgiþa 3,got,F.,"Festigkeit, Sicherheit, Fundament, Grundfeste, Befestigung","firmness, stability, steadiness, steadfastness, immovability, fixity, certainty",https://koeblergerhard.de/wikiling/?f=got&page=226
4514,tulgjan 3,got,V.,"festigen, stärken, befestigen","make firm, confirm, establish, fix (V.), fortify",https://koeblergerhard.de/wikiling/?f=got&page=226
4515,tulgus 2,got,Adj.,"fest, beständig, standhaft","firm (Adj.) (1), fixed, steadfast (Adj.), immovable, steady (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=226
4516,*tūn-,got,M.,Zaun?,fence (N.)?,https://koeblergerhard.de/wikiling/?f=got&page=226
4517,*tundi,got,F.,"Dorn, Zahn","thorn, tooth",https://koeblergerhard.de/wikiling/?f=got&page=226
4518,tundnan* 1,got,V.,brennen,"catch fire, be afire, be aflame, burn (V.)",https://koeblergerhard.de/wikiling/?f=got&page=226
4519,tunþus* 4,got,M.,Zahn,tooth,https://koeblergerhard.de/wikiling/?f=got&page=226
4520,*tuz-,got,V.,zer…,"dis-, difficult, troublesome",https://koeblergerhard.de/wikiling/?f=got&page=226
4521,*tuzwēreis,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=227
4522,tuzwērjan* 1,got,V.,zweifeln,"have difficulty agreeing to, doubt (V.)",https://koeblergerhard.de/wikiling/?f=got&page=227
4523,"*tuzwērs, *tuzwēreis",got,"Adj., Adj.",verdächtig?,"suspicious?, agreeing to with difficulty",https://koeblergerhard.de/wikiling/?f=got&page=227
4524,twa,got,"Num., N.",,,https://koeblergerhard.de/wikiling/?f=got&page=227
4525,twai 59,got,Num.,zwei,two,https://koeblergerhard.de/wikiling/?f=got&page=227
4526,twaitigjus,got,Num.,zwanzig,twenty,https://koeblergerhard.de/wikiling/?f=got&page=227
4527,twalibwintrus 1,got,Adj.,zwölfjährig,twelve winters old,https://koeblergerhard.de/wikiling/?f=got&page=227
4528,twalif 23,got,Num.,zwölf,twelve,https://koeblergerhard.de/wikiling/?f=got&page=227
4529,tweifl*,got,"N., M.",,,https://koeblergerhard.de/wikiling/?f=got&page=227
4530,tweifleins* 2,got,F.,"Zweifeln, Bezweiflung","doubt (N.), causing to doubt",https://koeblergerhard.de/wikiling/?f=got&page=227
4531,tweifljan 1,got,V.,"zweifeln, in Zweifel versetzen",cause doubt,https://koeblergerhard.de/wikiling/?f=got&page=227
4532,"tweifls* (1) 1, tweifl*?",got,"M., N.",Zweifel,"doubt (N.), dubiety",https://koeblergerhard.de/wikiling/?f=got&page=227
4533,*tweifls (2),got,Adj.,zweifelhaft,"doubtful, dubious",https://koeblergerhard.de/wikiling/?f=got&page=227
4534,tweihnai* 2,got,Num.,je zwei,"two in number, numbering two, two each, dual",https://koeblergerhard.de/wikiling/?f=got&page=227
4535,*twi-,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=227
4536,"*twis-, *twi-",got,V.,entzwei,"in two, in half",https://koeblergerhard.de/wikiling/?f=got&page=227
4537,twisstandan* 2=1,got,V.,"sich trennen, Abschied nehmen von","bid farewell, take leave, depart (V.)",https://koeblergerhard.de/wikiling/?f=got&page=227
4538,twisstass* 2=1,got,F.,"Zwistigkeit, Zwiespalt","factionalism, sectarian divisiveness, discord",https://koeblergerhard.de/wikiling/?f=got&page=227
4539,twōs,got,"Num., F.",,,https://koeblergerhard.de/wikiling/?f=got&page=227
4540,tyz 1,got,Sb.,"Ziu, Kriegsgott, Siegesgott, t-Rune","Ziu, god of war, god of victory, name of t-rune",https://koeblergerhard.de/wikiling/?f=got&page=227
4541,tzo,got,Pron.,,,https://koeblergerhard.de/wikiling/?f=got&page=228
4542,-þ,got,Partikel,,,https://koeblergerhard.de/wikiling/?f=got&page=228
4543,þ 1,got,Buchstabe,"th, Abkürzung für 9","th, abbreviation for 9",https://koeblergerhard.de/wikiling/?f=got&page=228
4544,þadei 12,got,Adv.,"wohin, dorthin wo","whither (Adv.), to where, to which place, in which, where",https://koeblergerhard.de/wikiling/?f=got&page=228
4545,*þagki?,got,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=228
