#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung
4324,"swaþþan 1, swahþan*",got,"Adv., Konj.",so nun,"and so when, and thus when, hence when, thus now"
4325,swau 1,got,"Partikel, Adv.",so,"is it thus that, is it in such a way that, so also"
4326,swē 181,got,"Adv., Konj.","wie, gegen, als, da","as, just as, in like manner as, as if, like (Adj.), approximately, something lik>>>"
4327,*Swēbōs?,got,M.,"Schwaben, Sweben",Swabians
4328,"swēgniþa 2, swigniþa*",got,F.,"Jubel, Frohlocken, Freude","exultation, rejoicing, gladness, joy"
4329,"swēgnjan* 4, swignjan",got,V.,"jubeln, triumphieren, frohlocken","exult, triumph (V.), jubilate (V.), rejoice (V.)"
4330,*swēgns?,got,Adj.,"froh, fröhlich","happy, merry, jubilant"
4331,sweiban* 1,got,V.,"ablassen, aufhören","cease (V.), leave off, pause (V.), stop (V.)"
4332,*sweibands?,got,"V., Adj.",aufhörlich,ceasing
4333,swein* 12,got,N.,Schwein,"swine, pig (N.)"
4334,*sweins?,got,Adj.,Sau-,"sowlike, swinish, porcine, piglike"
4335,*sweipains?,got,F.,Fegung,sweeping (N.)
4336,*sweipan?,got,V.,"fegen, sich schwingend bewegen",sweep (V.)
4337,swekunþs*,got,Adj.,,
4338,*Swēōs?,got,M.,Schweden,Swedes
4339,swēran* 13,got,V.,"ehren, achten","honour (V.), render honour to, esteem (V.), exalt"
4340,*swērei?,got,F.,Ehre,honour (N.)
4341,swēriþa 13,got,F.,Ehre,"honour (N.), dignity"
4342,swērs 3,got,Adj.,"geehrt, geachtet, gewichtig","honoured, dignified, esteemed"
4343,swēs (1) 29,got,Adj.,"eigen, angehörig","one’s own, very own"
4344,swēs* (2) 3,got,N.,"Eigentum, Vermögen","what is owned, ownings, property"
4345,swēþauh 3634,got,Partikel,"doch zwar, wenigstens","indeed, admittedly, but"
4346,swibls* 1,got,M.,Schwefel,"sulphur, brimstone"
4347,*swiggwan,got,V.,sich schwingen,swing o.s.
4348,"*swigl, *swigls?",got,"N., M.",Flöte,flute (N.)
4349,swiglja* 1,got,M.,"Flötenspieler, Flötenbläser","flutist, flute-player"
4350,swiglōn* 2,got,V.,"Flöte blasen, aufspielen","play the flute, pipe (V.)"
4351,*swigls,got,"N., M.",,
4352,swigniþa*,got,F.,,
4353,swignjan,got,V.,,
4354,swiknaba* 1,got,Adv.,"rein, reinen Herzens","innocently, blamelessly, sincerely"
4355,swiknei 3,got,F.,"Reinheit, Keuschheit, Unschuld","pureness, integrity, purity, chastity, inculpability"
4356,swikneins* 3,got,F.,Reinigung,"absolution, exculpation, exoneration, purification"
4357,swikniþa* 2,got,F.,"Reinigung, Reinheit, Keuschheit","purifiedness, purity, guiltlessness, impeccability, chastity"
4358,*swiknjan?,got,V.,reinigen,"absolve, exculpate, make taintless"
4359,swikns* 4,got,Adj.,"rein, unschuldig, unsträflich, keusch","innocent, pure, irreproachable, irreprehensible, guiltless, chaste"
4360,swikunþaba 5,got,Adv.,"offenbar, offen heraus, deutlich, ausdrücklich","plainly, openly, clearly, in an obvious manner"
4361,*swikunþjan?,got,V.,"bekanntgeben, offenbaren","publicize, make openly known"
4362,"swikunþs 17, swekunþs*",got,Adj.,"offenkundig, offenbar, bekannt","known openly, conspicuously known, known by its obviousness, manifest (Adj.), ob>>>"
4363,*swillan,got,V.,schwellen,swell (V.)
4364,swiltan* 1,got,V.,"im Sterben liegen, sterben","die, lie (V.) (2) dying"
4365,*swimman,got,V.,schwimmen,swim (V.)
4366,swinþei* 3,got,F.,"Stärke, Kraft","strength, power (N.)"
4367,*swinþjan?,got,V.,stärken,strengthen
4368,swinþnan* 2,got,V.,stark werden,become strong
4369,swinþs* 1110,got,Adj.,"stark, kräftig, gesund","strong, physically powerful, healthy, sound (Adj.), robust"
4370,swistar 15,got,F.,Schwester,sister
4371,swnagōgafaþs* 4,got,M.,Synagogenvorsteher,"synagogue leader, ruler of the synagogue"
4372,swnagōgē* 19,got,F.,Synagoge,synagogue
4373,*swōgan,got,V.,"rauschen, tönen","sough (V.), resound (V.)"
4374,swōgatjan* 2,got,V.,seufzen,"sigh (V.), groan (V.)"
4375,*swōgjan?,got,V.,seufzen,sigh (V.)
4376,*swōgs?,got,M.,Geräusch (N.) (1),"noise, rustle (N.)"
4377,swultawaírþja 1,got,M.,"dem Tode Naher, Todgeweihter","one approaching death, one about to die, moribund person"
4378,*swultawaírþs?,got,Adj.,"auf den Tod gerichtet, todgeweiht","about to die, moribund, at the point of death"
4379,swults* 1,got,"M., M.",Tod,death
4380,"swumfsl* 2, swumsl",got,N.,Teich,"pool, pond, place for swimming"
4381,swumsl,got,N.,,
4382,t 2,got,Buchstabe,"t, Abkürzung für 300","t, abbreviation for 300"
4383,*taban?,got,Sb.,"Opfer, Opfertier","sacrifice (N.), sacrificial animal"
4384,*taddora?,got,F.,"Zottel, Fetzen, Flausch","shred (N.), strand of hair"
4385,tag,got,M.,,
4386,tagl* 3,got,N.,Haar,hair (N.)
4387,tagr* 5,got,N.,"Zähre, Träne","teardrop, tear (N.) (1)"
4388,tagrjan* 1,got,V.,weinen,"weep (V.), shed tears"
4389,*tahanjan?,got,V.,"zäh sein (V.), streiten","be tough, argue, quarrel (V.)"
4390,*taheins?,got,F.,Zerreißung,tear (N.) (2)
4391,tahjan* 6,got,V.,"reißen, zerren, ausstreuen","lacerate, tear (V.) (2), rend (V.)"
4392,*tāhus,got,Adj.,zäh,tough (Adj.)
4393,taíhswa* (1) 19,got,Adj.,rechte,"right (Adj.), dexter"
4394,taíhswa* (2) 2,got,F.,"die Rechte, die rechte Hand","the right, right hand"
4395,taíhun 12,got,Num.,zehn,ten
4396,taíhunda* 1,got,Num.,zehnte,tenth
4397,taíhuntaíhundfalþs* 1,got,Adj.,hundertfältig,"hundred-fold, centuple"
4398,taíhuntēhund 3,got,Num.,hundert,hundred
4399,taíhuntēweis* 1,got,Adj.,zehnreihig,"decatypal, decimal-systemed"
4400,taikn 2,got,N.,Anzeichen,"token (N.), evidence, display (N.), something exhibited"
4401,*taikneins?,got,F.,"Zeichnung, Darstellung","drawing (N.), showing (N.)"
4402,taiknjan* 4,got,V.,einem etwas zeigen,"show (V.), exhibit, display (V.), manifest (V.)"
4403,taikns 21,got,F.,"Zeichen, Wunder","sign (N.), indication, miracle, token (N.)"
4404,tainjō* 5,got,F.,"Korb, Weidenkorb","basket (N.), wicker basket, basket made of branches or switches"
4405,tains* 1,got,M.,"Zweig, Rebe","branch (N.), shoot (N.), twig (N.) (1)"
4406,*taíran?,got,V.,"zerstören, zerreißen, auflösen","tear down, dismantle, demolish, ruin (V.)"
4407,*Taírwiggōs?,got,M.,Waldbewohner,"woodlanders, inhabitants of the wood"
4408,taítrarkēs 2,got,M.,"Tetrarch, Vierfürst","tetrarch (M.), ruler of one of the quarters into which a country or province was>>>"
4409,taleiþa 1,got,F.,Mägdlein,"young maiden, little girl"
4410,*talōn?,got,V.,"verwüsten, wegreißen","devastate, ravage (V.)"
4411,*tals?,got,Adj.,"fügsam, gehorsam","educated, trained, disciplined"
4412,talzeins* 1,got,F.,"Lehre, Unterweisung","upbringing, training, instruction, correction, discipline (N.)"
4413,talzjan* 7,got,V.,"lehren, ziehen, unterrichten","educate, instruct, train (V.), discipline (V.), correct (V.), admonish, chastise"
4414,talzjands* 6,got,M.,Lehrer,"trainer, headmaster, master (M.), tutor, lesson-teacher, instructor"
4415,*tamjan,got,V.,zähmen,tame (V.)
4416,*tams,got,Adj.,zahm,"tame (Adj.), domesticated, housebroken"
4417,tandjan* 2,got,V.,"anzünden, brennen machen","kindle (V.), ignite, make burn, light a lamp"
4418,"*-tani?, *tani?",got,N.,,
4419,*tappa?,got,M.,Zapfen,tap (N.) (1)
4420,*tarhjan?,got,V.,kennzeichnen,"mark (V.), indicate"
4421,tarmjan* 1,got,V.,"losbrechen, ausbrechen","vent (V.), break forth, burst out"
4422,*tarnjan?,got,V.,rauben,wrest (V.)
4423,*taskōn?,got,V.,raffen,"pile (V.), heap (V.)"
4424,*tass?,got,Adj.,,
4425,*taturō?,got,F.,Zotte (F.) (1),tuft of hair
4426,*taúhts?,got,F.,"Ziehung, Führung","guidance, tearing"
4427,táui 8,got,N.,"Werk, Tat","work (N.), act (N.), activity, action, deed, product (N.), effect (N.)"
4428,taujan 212210,got,V.,"tun, machen, wirken","do, act (V.), engage in, execute, perform, make (V.), form (V.), construct (V.),>>>"
4429,*taujands?,got,M.,Täter,culprit
4430,*taúra?,got,M.,Riss,"rent (N.), tear (N.) (2)"
4431,*taúrnan,got,V.,reißen,tear (V.) (2)
4432,*taúrþs,got,F.,Zerstörung,"tearing down (N.), demolition"
4433,te (2)? 1,got,Wort,,
4434,*tē,got,Konj.,"bis, zu","until, to"
4435,#NAME?,got,V.,#NAME?,#NAME?
4436,*teihan,got,V.,"kündigen, zeigen","announce, show (V.)"
4437,teikan*,got,V.,,
4438,"*-teins, *teins",got,"Adj., V.",,
4439,"tēkan* 7, teikan*",got,V.,"anrühren, berühren","touch (V.), come into contact with, put one’s touch on"
4440,telich 1,got,Adj.,töricht,foolish
4441,*tēlōn,got,V.,schaden,"damage (V.), harm (V.)"
4442,*tēmiba,got,Adv.,ziemend,"congruently, appositely"
4443,*tēms?,got,Adj.,ziemend,congruent
4444,Tērvingi*,got,M.,"„Waldbewohner“ (Pl.), Westgoten","woodlanders, inhabitants of the wood, Visigoths"
4445,tēwa* 1,got,F.,Ordnung,"order (N.), array (N.), arrangement, alignment"
4446,"*-tēweis, *tēweis",got,V.,#NAME?,"ranked, ordered, classed"
4447,*tēwiþs,got,"V., Adj.",,
4448,*tēwjan,got,V.,anordnen,order (V.)
4449,th,got,,,
4450,the 2,got,Art.,der,the
4451,thiine,got,Num.,,
4452,thiinetria*,got,Num.,,
4453,thiinetua*,got,Num.,,
4454,thiinita,got,Num.,,
4455,"thīnita* 1, thiinita",got,Num.,elf,eleven
4456,"thīntria* 1, thiinetria*, thunetria",got,Num.,dreizehn,thirteen
4457,"thīntua* 1, thiinetua*, thunetua",got,Num.,zwölf,twelve
4458,tho,got,Art.,,
4459,thunetria,got,Num.,,
4460,thunetua,got,Num.,,
4461,thurn,got,N.,,
4462,thyth,got,N.,,
4463,tibr* 1,got,N.,Opfer,"sacrificial gift, oblation"
4464,"tigjus* 12, tigus*",got,"M., N.","Zehnzahl, ...zig","tens, -ty"
4465,tigus*,got,M.,,
4466,*tilaba,got,Adv.,,
4467,*tilamalsks,got,Adj.,besonnen (Adj.),"fitting, suitable"
4468,tilarēþs* 1,got,M.,Zielrat,aiming advice
4469,*tilōn,got,V.,"zielen, streben","aim (V.), strive"
4470,tils* 1,got,"Adj., Sb., N.","zielstrebig, passend?, geschickt?","apposite?, fitting?, suitable?"
4471,*timan?,got,V.,"sich ziemen, geziemen","be congruent with, fit in with"
4472,*timbr?,got,N.,,
4473,timbrja*,got,M.,,
4474,timbrjan,got,V.,,
4475,"*timr, *timbr",got,N.,Bauholz,"building timber, construction lumber"
4476,timreins* 7,got,F.,Erbauung,"building, edifice, edification"
4477,"timrja 3, timbrja*",got,M.,Zimmermann,"carpenter, wood-worker"
4478,"timrjan* 9, timbrjan",got,V.,"bauen, zimmern, erbauen","build (V.), construct (V.), strengthen, benefit (V.), edify"
4479,*timrjō?,got,F.,"Bau, Gebäude","building, edifice"
4480,"tīne*, thiine",got,Num.,,
4481,tiuhan 12,got,V.,"ziehen, führen, wegführen","lead (V.), guide (V.), conduct (V.), bring"
4482,*tiuhi,got,N.,"Ruck, Zug (1)","jerk (N.) (1), tug (N.)"
4483,tk 1,got,Abkürzung,320,320
4484,tlg 1,got,Abkürzung,333,333
4485,tme 1,got,Abkürzung,345,345
4486,"*-tōjis?, *tōjis?",got,"Adj., M.","getan habend, tuend, Tuer","-doer, -worker"
4487,*tōl-,got,Sb.,Gefahr?,danger?
4488,tráuains 8,got,F.,"Vertrauen, Zuversicht","trusting, trust (N.), confidence"
4489,tráuan 4,got,V.,"trauen, Zutrauen haben","trust (V.), have confidence, rely on, confide in"
4490,trausti* 1,got,N.,"Bündnis, Bund, Vertrag","covenant, pact (N.)"
4491,*trausts?,got,Adj.,"stark, fest",promising fidelity
4492,treithyen,got,Num.,,
4493,tria,got,"Num., N.",,
4494,*trigan,got,V.,"trauern, betrüben","trouble (V.), grieve"
4495,triggwa 87,got,F.,"Bündnis, Bund","bequest (N.), testament (N.), entrustment, covenant"
4496,triggwaba 2,got,Adv.,"treulich, zuverlässig","confidently, trustingly, surely, firmly"
4497,triggws 26,got,Adj.,"treu, zuverlässig","trusting (Adj.), confident, trustworthy, faithful"
4498,trigō* 1,got,F.,"Trauer, Unlust","grief, sadness, woefulness, regret (N.)"
4499,*trimpan?,got,V.,treten,"step (V.), tread (V.)"
4500,triniungeldo 3,got,Sb.,"Dreineungeld, Siebenundzwanzigfachentgelt",twenty-seven compensations
4501,*trippōn?,got,V.,"trippeln, hüpfen, springen","toddle (V.), hop (V.) (1), jump (V.)"
4502,triu* 2,got,N.,"Holz, Prügel, Baum","wooden trunk, woody stem, vine, stick (N.)"
4503,triweins* 1,got,Adj.,hölzern,"wooden, woody, of wood"
4504,trudan 2,got,V.,"treten, keltern","trample (V.), tread on"
4505,*trusgjan?,got,V.,,
4506,*trusnjan?,got,V.,streuen,scatter (V.)
4507,tua,got,"Num., N.",,
4508,tufa,got,F.,Helmbüschel,plume (N.)
4509,"*-tuga, *tuga",got,M.,"„Zieher“, Führer",commander
4510,tuggl* 1,got,N.,Gestirn,"constellation, celestial body, star (N.)"
4511,tuggō 3,got,F.,Zunge,tongue
4512,*tuld-,got,Sb.,"Zelt, Vorhang","tent (N.) (1), curtain (N.)"
4513,tulgiþa 3,got,F.,"Festigkeit, Sicherheit, Fundament, Grundfeste, Befestigung","firmness, stability, steadiness, steadfastness, immovability, fixity, certainty"
4514,tulgjan 3,got,V.,"festigen, stärken, befestigen","make firm, confirm, establish, fix (V.), fortify"
4515,tulgus 2,got,Adj.,"fest, beständig, standhaft","firm (Adj.) (1), fixed, steadfast (Adj.), immovable, steady (Adj.)"
4516,*tūn-,got,M.,Zaun?,fence (N.)?
4517,*tundi,got,F.,"Dorn, Zahn","thorn, tooth"
4518,tundnan* 1,got,V.,brennen,"catch fire, be afire, be aflame, burn (V.)"
4519,tunþus* 4,got,M.,Zahn,tooth
4520,*tuz-,got,V.,zer…,"dis-, difficult, troublesome"
4521,*tuzwēreis,got,Adj.,,
4522,tuzwērjan* 1,got,V.,zweifeln,"have difficulty agreeing to, doubt (V.)"
4523,"*tuzwērs, *tuzwēreis",got,"Adj., Adj.",verdächtig?,"suspicious?, agreeing to with difficulty"
4524,twa,got,"Num., N.",,
4525,twai 59,got,Num.,zwei,two
4526,twaitigjus,got,Num.,zwanzig,twenty
4527,twalibwintrus 1,got,Adj.,zwölfjährig,twelve winters old
4528,twalif 23,got,Num.,zwölf,twelve
4529,tweifl*,got,"N., M.",,
4530,tweifleins* 2,got,F.,"Zweifeln, Bezweiflung","doubt (N.), causing to doubt"
4531,tweifljan 1,got,V.,"zweifeln, in Zweifel versetzen",cause doubt
4532,"tweifls* (1) 1, tweifl*?",got,"M., N.",Zweifel,"doubt (N.), dubiety"
4533,*tweifls (2),got,Adj.,zweifelhaft,"doubtful, dubious"
4534,tweihnai* 2,got,Num.,je zwei,"two in number, numbering two, two each, dual"
4535,*twi-,got,V.,,
4536,"*twis-, *twi-",got,V.,entzwei,"in two, in half"
4537,twisstandan* 21,got,V.,"sich trennen, Abschied nehmen von","bid farewell, take leave, depart (V.)"
4538,twisstass* 21,got,F.,"Zwistigkeit, Zwiespalt","factionalism, sectarian divisiveness, discord"
4539,twōs,got,"Num., F.",,
4540,tyz 1,got,Sb.,"Ziu, Kriegsgott, Siegesgott, t-Rune","Ziu, god of war, god of victory, name of t-rune"
4541,tzo,got,Pron.,,
4542,#NAME?,got,Partikel,,
4543,þ 1,got,Buchstabe,"th, Abkürzung für 9","th, abbreviation for 9"
4544,þadei 12,got,Adv.,"wohin, dorthin wo","whither (Adv.), to where, to which place, in which, where"
4545,*þagki?,got,N.,,
4546,þagkjan 19,got,V.,"denken, überlegen (V.)","think, deliberate, reason (V.), ponder, consider, consider to be, be engaged in >>>"
4547,"þagks* 1, þanks*",got,"M., F.",Dank,thanks
4548,þahains* 1,got,F.,Schweigen,"taciturnity, silence, muteness"
4549,þahan* 6,got,V.,schweigen,"be taciturn, be mute, keep quiet, keep secret"
4550,þāhō* 1,got,F.,"Lehm, Ton (M.) (1)",clay
4551,*þahsus?,got,M.,Dachs,badger
4552,*þāhts?,got,,,
4553,þaírh 160159,got,"Präp., V.",durch,"through, per, via (Präp.), whereby, by, throughout"
4554,þaírharbaidjan* 1,got,V.,durcharbeiten,"labour through, work through"
4555,þaírhbaíran* 1,got,V.,hindurchtragen,"carry through, bear through, produce"
4556,þaírhgaggan 11,got,V.,"hindurchgehen, vorübergehen, herumgehen, durchstreifen","go through, pass through, go throughout"
4557,þaírhgaleikōn* 1,got,V.,"deuten, auf jemanden übertragen, beziehen auf","transfer the similarity of the form of, apply the resemblance of, apply to, refe>>>"
4558,þaírhleiþan 5,got,V.,"hindurchgehen, vorbeigehen, weitergehen","pass on through, pass through, travel through, go through, go past"
4559,þaírhsaíƕan* 1,got,V.,"durchschauen, im Spiegel erblicken","look through a mirror, behold"
4560,þaírhwakan* 2,got,V.,"durchwachen, unter freiem Himmel übernachten, biwakieren","stay awake throughout, keep watch"
4561,þaírhwisan* 7,got,V.,"verbleiben, verharren","persevere, continue on, remain constant, keep on, persist"
4562,þaírkō* 2,got,N.,"Loch, Nadelöhr","hole (N.), perforation, eye of a needle"
4563,*þaírsan?,got,V.,verdorren,wither (V.)
4564,*þakjan,got,V.,decken,"thatch (V.), cover (V.)"
4565,þammei,got,Konj.,,
4566,þan 600?598?,got,"Adv., Konj.","dann, darauf, wann, so lange als, als, da","then, at that time, this time, thereupon, thereafter, now then, and then, furthe>>>"
4567,*þana-,got,Adv.,dann,then
4568,þanamais 109,got,Adv.,"weiter, noch, mehr","henceforth, still, further, yet"
4569,þanaseiþs 28,got,Adv.,"weiter, noch","later than then, after then, thereafter, from then on"
4570,þandē 19,got,Konj.,"wenn, weil, so lange als, da","while (Konj.), as long as, if, if only, when, because, since"
4571,þanei 3,got,Konj.,"wann, wieviel","when, at which time, at the time when, how much"
4572,*þanjan?,got,V.,"strecken, dehnen","stretch (V.), extend"
4573,þanks?,got,"M., F.",,
4574,þannu 22,got,Adv.,"ja, wohl, also darum","so then, well (Adv.), now, in consequence"
4575,þanuh 88,got,"Adv., Konj.","dann, daher, also, aber, nun","and the, and at that time"
4576,þanuþþan,got,"Adv., Konj.",,
4577,þar 2,got,Adv.,"dort, daselbst, da","there, in that place"
4578,þarba* (1) 5,got,F.,"Mangel (M.), Armut","want (N.), need (N.), privation, neediness, necessity"
4579,þarba (2),got,Adj.,,
4580,*þarba (3),got,Adj.,,
4581,*þarban?,got,V.,darben,"abstain, live in want"
4582,"þarbs* 5, þarfs*",got,Adj.,"nötig, bedürftig","needful, necessary, needy, having need"
4583,þarei 35,got,Adv.,wo,"where, in the place where, from where"
4584,þarf,got,V.,,
4585,þarfs*,got,Adj.,,
4586,þarihs* 1,got,Adj.,ungewalkt,"unprocessed, coarse, freshly woven, unshrunk"
4587,þaruh 74,got,"Adv., Partikel","da, nun, aber, daselbst","and there, and at that place, there also, right there"
4588,þata,got,Pron.,,
4589,þatain 6,got,Adj.,das eine,"the one, this only"
4590,þatainei 29,got,Adv.,nur,"only, solely"
4591,þatei 373,got,Konj.,"dass, weil, als ob","that, the fact that, for, because"
4592,þatist,got,,,
4593,þatuh,got,"Pron., N.",,
4594,þaþrō 11,got,Adv.,"daher, von da, darauf, hinfort, für die Zukunft","from the place, from this place, from here, hence, after this time, thereafter, >>>"
4595,þaþrōei 1,got,Adv.,"von wannen, woher, von wo","from the place that, from which place"
4596,þaþrōh 24,got,Adv.,"von da, daher, darauf, darnach","from there, after that"
4597,þau 86,got,Adv.,"als, oder, doch, wohl, etwa, wie","than, compared to, perchance, perhaps, but, instead"
4598,*þauh,got,Konj.,"oder, doch","or, but, even though"
4599,þauhjabai 3,got,Konj.,wenn auch,"even though, even if, although"
4600,*þaúr,got,M.,Riese (M.),giant (M.)
4601,þaúrban* 2019,got,V.,"nötig haben, bedürfen, Mangel leiden","need to, need (V.), have need, have to, must (V.)"
4602,*þaúrbs,got,Adj.,enthaltsam,abstinent
4603,þaúrfts* (1) 3,got,Adj.,"nötig, nützlich, notwendig","needed, necessary, requisite (Adj.), useful"
4604,þaúrfts (2) 6,got,F.,"Bedürfnis, Notdurft, Not","need (N.), necessity, requisiteness"
4605,"*þaúris, *þōris, *þuris",got,M.,Riese (M.),giant (M.)
4606,þaúrneins* 2,got,Adj.,"von Dornen, dornen","thorny, made of thorn"
4607,*þaúrnja,got,M.,Dornbusch,thornbush
4608,þaúrnus* 9,got,M.,Dorn,thorn-plant
4609,þaúrp* 1,got,N.,"bebautes Land, Acker, Feld","farmland, agricultural tract, land (N.), lived-on property"
4610,*þaúrpan,got,V.,vergleichen,compare
4611,*þaúrsiþs,got,"V., Adj.",durstig,thirsty
4612,þaúrsjan* 4,got,V.,dürsten,"make to thirst, be thirsty"
4613,*þaursnan?,got,V.,"verdorren, vertrocknen","become dry, dry up"
4614,þaúrstei* 1,got,F.,Durst,thirst (N.)
4615,*þaúrsts,got,"V., Adj.",durstig,thirsty
4616,þaúrsus 3,got,Adj.,"dürr, vertrocknet","dry (Adj.), parched, withered, dried up"
4617,þē 1,got,Adv.,"desto, um so","by that much the, do much the, any the"
4618,þēei 3,got,Partikel,"darum dass, deshalb dass, als ob, als wenn","from the motive that, for the reason that"
4619,þei 29,got,"Partikel, Konj.","was auch immer, dass, damit","such as that, this that, such that"
4620,þeihan 7,got,V.,"gedeihen, Fortschritte machen","make progress, wax (V.), gain (V.) (2), thrive, succeed, cooperate"
4621,þeihs* 2,got,N.,Zeit,"time (N.), occasion"
4622,þeihwō* 2,got,F.,Donner,thunder (N.)
4623,þeins 235234,got,Pron.,dein,"thy, thine, your, of you"
4624,*þeuhbrōks?,got,Sb.,,
4625,þēwis* 2,got,N.,"Dienerschaft, Knechte","servitors, bondsmen, thralls, slaves"
4626,*þiljō,got,F.,"Diele, Planke, Brett","floorboard, plank (N.), board (N.)"
4627,*þinsan,got,V.,ziehen,pull (V.)
4628,*þiqjan?,got,V.,dick werden,become fat
4629,þishun 76,got,Adv.,"meist, vorzüglich, besonders","in particular, particularly, specifically, especially, above all"
4630,þisƕaduh 5,got,Adv.,"wohin auch immer, wohin nur immer","whithersoever, wherever to, to whichever place"
4631,þisƕah,got,Pron.,,
4632,þisƕaruh 2,got,Adv.,"wo auch immer, wo nur immer","wherever, in whichever place"
4633,þisƕazuh 20,got,Pron.,"wer auch immer, wer nur immer","whoever, whosoever, whomever"
4634,þiubi* 1,got,N.,Diebstahl,"theft, thievery, stealing (N.)"
4635,*þiubjis?,got,Adj.,"diebisch, heimlich","secret, clandestine"
4636,þiubjō* 2,got,Adv.,"verstohlen, heimlich","stealthily, secretly, clandestinely, in secret"
4637,þiubs,got,M.,,
4638,þiuda 55,got,F.,"Volk, Heiden","people, ethnic group, nation, gentiles, heathens"
4639,þiudangardi 65,got,F.,"Königsschloss, Königreich, Palast","royal domain, realm, kingdom, royal palace, king’s court"
4640,þiudanōn 7,got,V.,"herrschen, König sein (V.)","reign (V.), be a king, rule (V.)"
4641,þiudans 36,got,M.,König,king
4642,þiudinassus 10,got,M.,"Regierung, Königreich, Reich","governance, reign (N.), reigning (N.), kingship, kingdom, rule (N.)"
4643,þiudiskō 1,got,Adv.,heidnisch,"heathenly, in the manner of the gentiles, like the heathen"
4644,*þiudisks?,got,Adj.,,
4645,*þiufadia?,got,F.,,
4646,þiufadus,got,M.,,
4647,"*þiufaþia, *þiufadia",got,F.,Tausendschaft?,division of a thousand men?
4648,*þiufaþs?,got,M.,"„Knechtführer“, Tausendführer?","leader of servants, leader of a thousand men?"
4649,"þiufaþus* 21, þiufadus, thiuphadus",got,M.,"„Knechtführer“, Tausendführer?","leader of a thousand men, leader of servants"
4650,"þiufs* 8, þiubs",got,M.,"Dieb, Räuber","thief, robber"
4651,*þiuh,got,N.,"Oberschenkel, Hüfte","thigh, hip (N.)"
4652,"*þiuhbrōks, *þeuhbrōks",got,Sb.,Kniehose,knee breeches
4653,þiumagus 6,got,M.,Knecht,servant boy
4654,þiuphadus,got,M.,,
4655,þius* 2,got,M.,"Haussklave, Diener, Knecht","thrall, bondsman, servant, servitor, boy"
4656,þiuþ 20,got,N.,"das Gute, die gute Sache, Gut","good (N.), something good, good things"
4657,*þiuþan,got,V.,lärmen,"howl (V.), blare (V.)"
4658,*þiuþei,got,F.,Güte,goodness
4659,þiuþeigs 17,got,Adj.,"gut, gepriesen","good, perfect, beneficial, laudable, praised, blessed"
4660,þiuþeins* 5,got,F.,"Güte, Segen","beneficence, good-doing, blessing (N.), benefaction, goodness, generosity"
4661,þiuþiqiss* 1,got,F.,"Segen, Segnung","benediction, blessing (N.)"
4662,þiuþjan* 19,got,V.,segnen,"bless (V.), confer benediction, pronounce good upon"
4663,*þiuþs?,got,Adj.,gut,"benevolent, benefactory, beneficial"
4664,þiuþspillōn* 1,got,V.,"Gutes künden, frohe Botschaft künden, verkündigen","preach good news, promulgate good tidings"
4665,þiwadw* 1,got,N.,"Knechtschaft, Dienstbarkeit","thralldom, bondage, servitude"
4666,*þiwairna,got,F.,Magd,maidservant
4667,*þiwan,got,V.,dienstbar machen,make subservient
4668,þiwi 11,got,F.,Magd,"maidservant, handmaid"
4669,þizei,got,Konj.,,
4670,þlahsjan* 1,got,V.,"schrecken, erschrecken","frighten, scare (V.)"
4671,*þlahsnan?,got,V.,erschrecken,"be frightened, become frightened"
4672,*þlaihan?,got,V.,"ermahnen, trösten","comfort (V.), hearten, encourage, exhort"
4673,*þlaihts?,got,F.,Trost,comforting (N.)
4674,þlaqus 1,got,Adj.,zart,"pliant, supple (Adj.), tender (Adj.)"
4675,þlaúhs 1,got,M.,Flucht (M.) (1),"flight (1), fleeing (N.)"
4676,þliuhan 6,got,V.,fliehen,"flee, take flight"
4677,*þōris?,got,M.,,
4678,þrafsteins* 1,got,F.,"Trost, Tröstung","heartening (N.), consolation, encouragement, comfort (N.)"
4679,þrafstjan* 11,got,V.,"trösten, mahnen, ermahnen","cheer (V.), hearten, console (V.), comfort (V.), encourage, reassure"
4680,*þrafsts?,got,M.,Trost,consolation
4681,þragjan* 4,got,V.,laufen,"run (V.), go running"
4682,þraihans,got,"V., Adj.",,
4683,"*þraihn, *þraihns",got,"N., M.",Menge,"quantity, amount, accumulation"
4684,*þraihns,got,"N., M.",,
4685,þramstei* 1,got,F.,Heuschrecke,"locust, cicada, grasshopper"
4686,*þras?,got,Adj.,"schnell, verwegen","fast (1), daring (Adj.), bold"
4687,þrasabalþei* 1,got,F.,Streitsucht,"raucous boldness, quarrelsomeness"
4688,*þrasabalþs,got,Adj.,streitsüchtig,quarrelsome
4689,*þrask,got,N.,,
4690,þreihan* 10,got,V.,drängen,"press (V.), crowd (V.), cramp (V.), thong (V.), crush (V.)"
4691,þreihsl* 21,got,N.,"Drangsal, Bedrängnis","constriction, pressured condition, distress (N.), difficulty"
4692,"þreis* 26, þrija",got,Num.,drei,three
4693,þreistigjus,got,Num.,dreißig,thirty
4694,þridja 12,got,Num.,dritte,third
4695,*þridjataihun 1,got,Num.,dreißig,thirty
4696,þridjō 2,got,Adv.,zum dritten Mal,for the third time
4697,þrija,got,Num.,,
4698,*þrimman,got,V.,schwellen?,"thrum (1), strum (V.), drum (V.)"
4699,þriskan* 3,got,V.,dreschen,thresh
